deliverable_id,discipline,project_phase,planned_value_usd,earned_value_usd,actual_cost_usd,completion_pct,planned_duration_days,actual_duration_days
DEL-10031,Mechanical Equipment,Construction & Erection,6490.2,5219.04,5202.66,80.4,115,134
DEL-10032,Piping & Layout,Construction & Erection,5267.75,1532.65,1546.42,29.1,42,44
DEL-10033,Piping & Layout,Engineering & Design,6532.44,5248.85,5350.32,80.4,104,81
DEL-10034,Instrumentation & Control,Engineering & Design,5728.8,4474.55,4092.69,78.1,112,122
DEL-10035,Instrumentation & Control,Construction & Erection,7368.67,4864.77,5915.98,66.0,29,33
DEL-10036,Electrical,Construction & Erection,15644.03,6640.6,5892.17,42.4,22,23
DEL-10037,Piping & Layout,Construction & Erection,7742.52,3533.91,3843.92,45.6,62,71
DEL-10038,Piping & Layout,Engineering & Design,2122.34,1515.0,1669.61,71.4,113,117
DEL-10039,Mechanical Equipment,Construction & Erection,14618.6,3308.28,2969.86,22.6,102,103
DEL-10040,Civil & Structural,Construction & Erection,18260.43,6223.77,6540.97,34.1,66,88
DEL-10041,Piping & Layout,Construction & Erection,61184.27,48948.88,44228.02,80.0,69,104
DEL-10042,Civil & Structural,Construction & Erection,2000.6,725.54,905.95,36.3,51,63
DEL-10043,Piping & Layout,Construction & Erection,5968.83,3485.07,3029.16,58.4,18,17
DEL-10044,Instrumentation & Control,Construction & Erection,929.2,740.43,697.42,79.7,69,76
DEL-10045,Piping & Layout,Engineering & Design,7650.45,4685.03,4012.1,61.2,26,28
DEL-10046,Mechanical Equipment,Procurement & Fabrication,3169.85,1184.25,990.45,37.4,33,39
DEL-10047,Piping & Layout,Engineering & Design,22896.9,11024.47,14096.79,48.1,93,102
DEL-10048,Civil & Structural,Procurement & Fabrication,2644.69,1573.7,1764.77,59.5,71,84
DEL-10049,Civil & Structural,Procurement & Fabrication,1272.39,1135.58,1204.9,89.2,108,153
DEL-10050,Piping & Layout,Engineering & Design,3371.08,3318.75,3124.65,98.4,51,35
DEL-10051,Instrumentation & Control,Procurement & Fabrication,1011.93,773.93,910.25,76.5,90,86
DEL-10052,Electrical,Engineering & Design,8963.17,869.84,797.1,9.7,97,121
DEL-10053,Instrumentation & Control,Construction & Erection,941.93,908.37,1052.85,96.4,112,118
DEL-10054,Instrumentation & Control,Pre-Commissioning,5027.94,3753.06,3411.99,74.6,21,25
DEL-10055,Mechanical Equipment,Engineering & Design,932.39,580.66,547.75,62.3,106,108
DEL-10056,Instrumentation & Control,Pre-Commissioning,3803.82,2302.25,2656.2,60.5,69,95
DEL-10057,Piping & Layout,Procurement & Fabrication,18300.85,14198.21,16605.86,77.6,42,54
DEL-10058,Piping & Layout,Engineering & Design,6558.51,2197.69,2482.56,33.5,107,120
DEL-10059,Piping & Layout,Engineering & Design,2463.17,815.65,719.85,33.1,51,71
DEL-10060,Piping & Layout,Procurement & Fabrication,4793.6,3127.53,3043.06,65.2,98,110
DEL-10061,Civil & Structural,Construction & Erection,4986.12,4750.08,5051.88,95.3,75,80
DEL-10062,Piping & Layout,Construction & Erection,7173.18,4748.94,4333.92,66.2,89,121
DEL-10063,Electrical,Engineering & Design,1646.67,480.92,599.05,29.2,53,41
DEL-10064,Civil & Structural,Engineering & Design,7895.54,603.23,422.26,7.6,37,40
DEL-10065,Piping & Layout,Procurement & Fabrication,564.81,175.29,161.82,31.0,66,75
DEL-10066,Civil & Structural,Engineering & Design,2969.33,1871.42,1803.24,63.0,98,100
DEL-10067,Piping & Layout,Engineering & Design,3325.52,1407.18,985.03,42.3,98,89
DEL-10068,Electrical,Engineering & Design,8157.24,6764.29,5618.18,82.9,25,26
DEL-10069,Piping & Layout,Construction & Erection,5004.56,1659.56,1881.6,33.2,80,61
DEL-10070,Instrumentation & Control,Pre-Commissioning,1596.47,917.83,958.71,57.5,27,37
DEL-10071,Electrical,Procurement & Fabrication,2235.02,2107.7,2689.36,94.3,91,126
DEL-10072,Piping & Layout,Pre-Commissioning,5761.45,1981.73,2520.34,34.4,55,59
DEL-10073,Piping & Layout,Procurement & Fabrication,4613.52,2288.91,2529.15,49.6,63,63
DEL-10074,Electrical,Procurement & Fabrication,3092.39,1463.56,1590.87,47.3,29,22
DEL-10075,Electrical,Engineering & Design,3345.37,1826.13,1917.24,54.6,70,65
DEL-10076,Electrical,Construction & Erection,8577.81,5300.85,3710.59,61.8,68,92
DEL-10077,Electrical,Pre-Commissioning,3248.17,448.28,372.44,13.8,45,48
DEL-10078,Piping & Layout,Construction & Erection,4580.33,1253.02,1322.06,27.4,75,72
DEL-10079,Civil & Structural,Procurement & Fabrication,27887.93,12063.13,13660.34,43.3,72,77
DEL-10080,Piping & Layout,Construction & Erection,1573.49,711.63,771.01,45.2,101,96
DEL-10081,Instrumentation & Control,Engineering & Design,1117.14,929.52,842.27,83.2,74,55
DEL-10082,Mechanical Equipment,Construction & Erection,9199.2,8385.37,9899.86,91.2,67,67
DEL-10083,Piping & Layout,Procurement & Fabrication,2855.74,2272.42,2868.63,79.6,100,85
DEL-10084,Piping & Layout,Procurement & Fabrication,3810.1,1106.31,1306.22,29.0,75,86
DEL-10085,Piping & Layout,Construction & Erection,2630.88,2487.71,2956.49,94.6,94,117
DEL-10086,Piping & Layout,Construction & Erection,3992.45,3028.29,2895.4,75.9,56,51
DEL-10087,Electrical,Engineering & Design,17655.99,11350.34,13636.18,64.3,43,47
DEL-10088,Mechanical Equipment,Construction & Erection,9336.65,4673.69,4962.82,50.1,98,104
DEL-10089,Instrumentation & Control,Engineering & Design,9796.48,1409.54,1574.08,14.4,106,97
DEL-10090,Civil & Structural,Construction & Erection,1582.91,712.62,780.19,45.0,41,25
DEL-10091,Piping & Layout,Construction & Erection,1956.82,1893.51,1934.74,96.8,58,50
DEL-10092,Electrical,Construction & Erection,507.11,182.72,166.46,36.0,107,97
DEL-10093,Electrical,Construction & Erection,2572.14,1961.08,2015.36,76.2,19,21
DEL-10094,Mechanical Equipment,Procurement & Fabrication,10565.64,7012.9,8331.42,66.4,66,73
DEL-10095,Electrical,Engineering & Design,7432.05,5657.46,5509.11,76.1,116,152
DEL-10096,Civil & Structural,Construction & Erection,4116.63,3208.81,3767.15,77.9,67,57
DEL-10097,Civil & Structural,Engineering & Design,4827.87,1099.06,1264.54,22.8,66,59
DEL-10098,Civil & Structural,Procurement & Fabrication,2832.43,2356.57,2345.16,83.2,52,48
DEL-10099,Piping & Layout,Engineering & Design,5789.53,3145.65,3926.78,54.3,58,59
DEL-10100,Piping & Layout,Engineering & Design,9069.77,5642.34,5567.11,62.2,67,74
DEL-10101,Piping & Layout,Construction & Erection,1349.23,580.43,735.07,43.0,16,18
DEL-10102,Mechanical Equipment,Engineering & Design,6246.13,5193.84,5739.81,83.2,68,46
DEL-10103,Piping & Layout,Construction & Erection,10362.49,9755.45,10122.45,94.1,98,127
DEL-10104,Civil & Structural,Procurement & Fabrication,3526.0,1821.08,1651.41,51.6,91,105
DEL-10105,Instrumentation & Control,Engineering & Design,8608.97,4852.76,4982.62,56.4,104,129
DEL-10106,Piping & Layout,Procurement & Fabrication,46710.47,38180.2,38540.47,81.7,49,29
DEL-10107,Civil & Structural,Engineering & Design,4521.17,1132.58,964.11,25.1,60,74
DEL-10108,Electrical,Engineering & Design,6732.12,5475.39,5515.68,81.3,86,74
DEL-10109,Piping & Layout,Construction & Erection,2723.18,2397.19,2204.05,88.0,106,103
DEL-10110,Piping & Layout,Engineering & Design,5681.67,3011.95,3397.18,53.0,119,160
DEL-10111,Piping & Layout,Construction & Erection,7102.61,6539.9,8082.94,92.1,93,111
DEL-10112,Piping & Layout,Engineering & Design,5743.79,4912.14,4204.61,85.5,69,64
DEL-10113,Instrumentation & Control,Engineering & Design,2173.83,1156.29,1499.53,53.2,86,105
DEL-10114,Electrical,Construction & Erection,5796.96,1690.66,1725.68,29.2,25,28
DEL-10115,Mechanical Equipment,Procurement & Fabrication,15831.5,4578.7,4092.2,28.9,43,42
DEL-10116,Instrumentation & Control,Engineering & Design,7036.8,5579.71,6437.1,79.3,83,96
DEL-10117,Electrical,Procurement & Fabrication,10610.4,9302.09,9051.23,87.7,77,76
DEL-10118,Piping & Layout,Engineering & Design,4065.9,2131.11,2190.23,52.4,61,69
DEL-10119,Instrumentation & Control,Construction & Erection,8954.58,4586.48,4491.81,51.2,21,24
DEL-10120,Civil & Structural,Procurement & Fabrication,6145.12,4341.77,3983.53,70.7,78,91
DEL-10121,Electrical,Construction & Erection,2296.8,2030.33,2332.04,88.4,96,139
DEL-10122,Instrumentation & Control,Construction & Erection,6341.16,4223.2,4210.77,66.6,78,97
DEL-10123,Piping & Layout,Procurement & Fabrication,2223.07,2172.17,1790.96,97.7,106,134
DEL-10124,Piping & Layout,Pre-Commissioning,2962.22,2395.01,2688.78,80.9,26,25
DEL-10125,Piping & Layout,Procurement & Fabrication,5718.5,1093.11,939.16,19.1,26,20
DEL-10126,Civil & Structural,Pre-Commissioning,6234.14,4247.38,3682.53,68.1,50,51
DEL-10127,Electrical,Engineering & Design,1898.11,1550.81,1890.27,81.7,43,41
DEL-10128,Instrumentation & Control,Construction & Erection,11420.77,6524.46,5614.62,57.1,25,29
DEL-10129,Piping & Layout,Procurement & Fabrication,7766.73,4441.56,3109.09,57.2,67,68
DEL-10130,Civil & Structural,Procurement & Fabrication,2796.76,291.8,330.74,10.4,84,111
DEL-10131,Civil & Structural,Construction & Erection,1436.45,702.58,698.66,48.9,99,71
DEL-10132,Piping & Layout,Construction & Erection,4376.81,1887.09,1900.96,43.1,88,88
DEL-10133,Piping & Layout,Engineering & Design,3440.06,1848.42,1835.16,53.7,110,125
DEL-10134,Piping & Layout,Engineering & Design,5380.37,3003.4,3227.91,55.8,61,53
DEL-10135,Instrumentation & Control,Construction & Erection,3675.73,2781.19,2578.42,75.7,47,58
DEL-10136,Piping & Layout,Construction & Erection,986.37,130.19,164.23,13.2,95,117
DEL-10137,Civil & Structural,Pre-Commissioning,3602.28,3500.2,2865.15,97.2,81,79
DEL-10138,Electrical,Construction & Erection,3848.75,3052.47,3378.27,79.3,57,91
DEL-10139,Civil & Structural,Pre-Commissioning,8159.42,7626.87,8666.55,93.5,32,27
DEL-10140,Instrumentation & Control,Construction & Erection,2811.41,1197.81,1109.24,42.6,88,70
DEL-10141,Instrumentation & Control,Engineering & Design,18824.98,15149.65,13429.26,80.5,67,65
DEL-10142,Piping & Layout,Engineering & Design,1064.95,759.13,905.32,71.3,119,131
DEL-10143,Civil & Structural,Construction & Erection,14029.73,7168.11,6389.44,51.1,53,39
DEL-10144,Piping & Layout,Construction & Erection,4107.4,1677.63,1592.07,40.8,86,102
DEL-10145,Piping & Layout,Engineering & Design,9775.83,3551.71,4166.5,36.3,48,74
DEL-10146,Piping & Layout,Procurement & Fabrication,5238.77,3429.66,3584.72,65.5,51,40
DEL-10147,Mechanical Equipment,Pre-Commissioning,12229.97,5466.43,4211.49,44.7,55,60
DEL-10148,Civil & Structural,Procurement & Fabrication,3605.12,3548.52,4620.38,98.4,111,139
DEL-10149,Piping & Layout,Procurement & Fabrication,2040.81,1421.59,1365.44,69.7,63,76
DEL-10150,Piping & Layout,Procurement & Fabrication,15312.17,1176.87,1152.85,7.7,24,36
DEL-10151,Instrumentation & Control,Engineering & Design,4488.24,2244.82,2420.75,50.0,54,52
DEL-10152,Piping & Layout,Procurement & Fabrication,5867.87,3098.91,3513.42,52.8,32,47
DEL-10153,Piping & Layout,Procurement & Fabrication,13197.75,6613.86,8823.99,50.1,39,41
DEL-10154,Civil & Structural,Engineering & Design,2152.61,1243.12,983.3,57.7,55,53
DEL-10155,Instrumentation & Control,Construction & Erection,7914.03,2068.47,2407.48,26.1,50,72
DEL-10156,Piping & Layout,Procurement & Fabrication,3065.86,2239.8,2579.02,73.1,16,16
DEL-10157,Mechanical Equipment,Construction & Erection,4421.63,2937.0,2994.05,66.4,97,124
DEL-10158,Electrical,Construction & Erection,5207.33,2151.7,2491.86,41.3,88,85
DEL-10159,Piping & Layout,Engineering & Design,1480.04,1071.65,1264.69,72.4,63,51
DEL-10160,Electrical,Construction & Erection,2635.77,1388.56,1156.26,52.7,81,65
DEL-10161,Civil & Structural,Procurement & Fabrication,14484.85,10485.74,13657.3,72.4,67,80
DEL-10162,Mechanical Equipment,Construction & Erection,9986.14,2149.25,1732.69,21.5,33,28
DEL-10163,Mechanical Equipment,Engineering & Design,4674.55,4486.3,3901.74,96.0,40,41
DEL-10164,Civil & Structural,Construction & Erection,5969.98,1483.76,1484.84,24.9,68,63
DEL-10165,Piping & Layout,Construction & Erection,3883.94,1576.19,2094.34,40.6,65,57
DEL-10166,Electrical,Engineering & Design,14548.84,3492.01,3470.22,24.0,39,35
DEL-10167,Piping & Layout,Engineering & Design,4186.91,1580.57,1636.22,37.8,31,34
DEL-10168,Piping & Layout,Construction & Erection,5916.34,3712.2,4658.11,62.7,88,41
DEL-10169,Piping & Layout,Construction & Erection,12293.48,686.1,682.64,5.6,75,92
DEL-10170,Mechanical Equipment,Procurement & Fabrication,2638.86,2191.9,1892.12,83.1,60,48
DEL-10171,Mechanical Equipment,Construction & Erection,17103.38,11891.45,11622.88,69.5,69,57
DEL-10172,Piping & Layout,Procurement & Fabrication,1444.66,461.54,574.9,31.9,64,49
DEL-10173,Civil & Structural,Construction & Erection,18100.84,4571.52,4802.98,25.3,89,99
DEL-10174,Piping & Layout,Engineering & Design,3647.73,2454.47,3263.47,67.3,25,34
DEL-10175,Mechanical Equipment,Construction & Erection,4047.44,3004.7,3457.48,74.2,26,27
DEL-10176,Piping & Layout,Engineering & Design,1083.54,455.44,429.61,42.0,54,62
DEL-10177,Mechanical Equipment,Procurement & Fabrication,3415.79,1443.15,1511.94,42.2,62,72
DEL-10178,Civil & Structural,Engineering & Design,2139.13,254.39,232.01,11.9,70,85
DEL-10179,Instrumentation & Control,Engineering & Design,3022.63,2664.87,2504.27,88.2,22,19
DEL-10180,Piping & Layout,Procurement & Fabrication,4403.48,2531.22,4049.95,57.5,102,141
DEL-10181,Piping & Layout,Engineering & Design,10574.84,7122.85,8496.09,67.4,28,28
DEL-10182,Piping & Layout,Construction & Erection,5802.72,992.04,1159.86,17.1,101,113
DEL-10183,Instrumentation & Control,Engineering & Design,6286.38,2313.65,2189.92,36.8,70,72
DEL-10184,Instrumentation & Control,Procurement & Fabrication,2045.88,294.3,375.36,14.4,68,66
DEL-10185,Piping & Layout,Procurement & Fabrication,2429.39,1756.94,2116.96,72.3,114,142
DEL-10186,Mechanical Equipment,Engineering & Design,20722.6,16372.26,21648.11,79.0,31,37
DEL-10187,Electrical,Engineering & Design,2729.41,1568.31,2062.27,57.5,59,37
DEL-10188,Mechanical Equipment,Procurement & Fabrication,18489.65,13049.93,10676.63,70.6,19,22
DEL-10189,Civil & Structural,Procurement & Fabrication,4046.27,2608.19,2278.32,64.5,17,25
DEL-10190,Piping & Layout,Procurement & Fabrication,4923.77,3840.47,3415.83,78.0,23,25
DEL-10191,Piping & Layout,Procurement & Fabrication,11571.4,8942.01,8033.58,77.3,98,94
DEL-10192,Instrumentation & Control,Construction & Erection,13595.77,2237.35,2435.4,16.5,34,33
DEL-10193,Instrumentation & Control,Engineering & Design,4497.83,1857.95,1774.31,41.3,97,92
DEL-10194,Mechanical Equipment,Procurement & Fabrication,3602.58,2382.42,3218.39,66.1,35,29
DEL-10195,Piping & Layout,Pre-Commissioning,4699.75,2239.24,2968.56,47.6,94,96
DEL-10196,Piping & Layout,Procurement & Fabrication,6440.53,2348.59,2440.26,36.5,47,48
DEL-10197,Electrical,Construction & Erection,10027.06,7508.96,10011.69,74.9,19,22
DEL-10198,Instrumentation & Control,Procurement & Fabrication,4931.43,1746.14,2205.76,35.4,38,36
DEL-10199,Instrumentation & Control,Construction & Erection,8063.55,5106.86,4965.88,63.3,77,113
DEL-10200,Electrical,Construction & Erection,18227.52,8453.28,6243.74,46.4,93,81
DEL-10201,Mechanical Equipment,Procurement & Fabrication,6667.82,2094.89,2110.2,31.4,40,44
DEL-10202,Piping & Layout,Pre-Commissioning,6306.41,3193.11,3012.08,50.6,103,94
DEL-10203,Piping & Layout,Engineering & Design,1458.07,1099.58,1177.63,75.4,106,101
DEL-10204,Instrumentation & Control,Engineering & Design,599.09,225.04,237.06,37.6,47,47
DEL-10205,Mechanical Equipment,Construction & Erection,6705.62,4604.77,4832.49,68.7,32,35
DEL-10206,Piping & Layout,Construction & Erection,4555.73,2731.11,3054.89,59.9,32,39
DEL-10207,Piping & Layout,Engineering & Design,3255.74,556.16,477.25,17.1,52,50
DEL-10208,Mechanical Equipment,Engineering & Design,5971.92,883.96,973.86,14.8,47,36
DEL-10209,Piping & Layout,Engineering & Design,4682.92,1815.53,1768.43,38.8,41,55
DEL-10210,Piping & Layout,Engineering & Design,12115.3,2561.33,2740.61,21.1,63,54
DEL-10211,Civil & Structural,Construction & Erection,5265.28,5219.77,6178.18,99.1,64,65
DEL-10212,Mechanical Equipment,Procurement & Fabrication,2703.93,2257.49,1933.18,83.5,29,31
DEL-10213,Mechanical Equipment,Procurement & Fabrication,10852.31,5211.15,5199.71,48.0,91,95
DEL-10214,Piping & Layout,Procurement & Fabrication,4131.08,1997.08,2041.45,48.3,66,51
DEL-10215,Electrical,Engineering & Design,7489.29,3565.22,3432.81,47.6,112,138
DEL-10216,Piping & Layout,Engineering & Design,3354.55,2629.9,3090.07,78.4,82,41
DEL-10217,Piping & Layout,Construction & Erection,2922.34,1659.61,1546.66,56.8,113,142
DEL-10218,Electrical,Pre-Commissioning,5257.1,2955.74,2827.72,56.2,33,43
DEL-10219,Mechanical Equipment,Construction & Erection,4965.47,3967.88,3704.06,79.9,109,135
DEL-10220,Electrical,Engineering & Design,7214.6,2775.75,3341.47,38.5,39,39
DEL-10221,Mechanical Equipment,Construction & Erection,3964.3,550.6,531.95,13.9,118,128
DEL-10222,Mechanical Equipment,Construction & Erection,1131.06,938.89,1041.24,83.0,90,83
DEL-10223,Piping & Layout,Construction & Erection,3476.5,2485.72,3321.8,71.5,90,97
DEL-10224,Civil & Structural,Procurement & Fabrication,9274.79,6585.06,6774.56,71.0,39,46
DEL-10225,Piping & Layout,Procurement & Fabrication,3874.22,3100.57,3741.79,80.0,47,40
DEL-10226,Piping & Layout,Procurement & Fabrication,4035.53,3103.79,4006.08,76.9,74,76
DEL-10227,Instrumentation & Control,Engineering & Design,10819.46,3998.39,4774.39,37.0,51,49
DEL-10228,Civil & Structural,Engineering & Design,2780.6,563.53,584.65,20.3,106,137
DEL-10229,Instrumentation & Control,Engineering & Design,1430.47,1195.17,1358.09,83.6,57,50
DEL-10230,Mechanical Equipment,Procurement & Fabrication,4322.09,2431.4,2059.14,56.3,23,27
DEL-10231,Electrical,Construction & Erection,3336.44,118.96,109.8,3.6,28,29
DEL-10232,Civil & Structural,Procurement & Fabrication,2268.79,1596.68,1515.73,70.4,17,18
DEL-10233,Mechanical Equipment,Engineering & Design,4271.4,1029.0,1416.0,24.1,83,99
DEL-10234,Civil & Structural,Pre-Commissioning,7282.32,3066.63,2815.52,42.1,70,69
DEL-10235,Piping & Layout,Pre-Commissioning,4878.38,2388.3,2187.4,49.0,40,43
DEL-10236,Electrical,Construction & Erection,6282.89,3878.36,3426.19,61.7,67,86
DEL-10237,Piping & Layout,Pre-Commissioning,20967.44,20206.72,22711.79,96.4,55,50
DEL-10238,Piping & Layout,Procurement & Fabrication,3735.72,715.76,759.7,19.2,96,107
DEL-10239,Mechanical Equipment,Pre-Commissioning,6140.61,4394.96,5287.2,71.6,116,143
DEL-10240,Piping & Layout,Engineering & Design,3270.27,1725.75,1968.55,52.8,35,40
DEL-10241,Instrumentation & Control,Procurement & Fabrication,2497.17,951.22,792.31,38.1,53,70
DEL-10242,Instrumentation & Control,Engineering & Design,3078.12,2288.37,2102.8,74.3,94,97
DEL-10243,Instrumentation & Control,Engineering & Design,3350.93,2175.45,2708.0,64.9,118,141
DEL-10244,Civil & Structural,Engineering & Design,6552.36,2009.25,2028.34,30.7,37,47
DEL-10245,Piping & Layout,Construction & Erection,32185.16,24206.54,29486.92,75.2,107,77
DEL-10246,Instrumentation & Control,Construction & Erection,2771.56,1671.66,1701.0,60.3,88,86
DEL-10247,Civil & Structural,Construction & Erection,3521.7,3021.87,2704.13,85.8,72,82
DEL-10248,Instrumentation & Control,Engineering & Design,4672.74,3305.74,3287.59,70.7,83,103
DEL-10249,Instrumentation & Control,Construction & Erection,6745.56,4896.14,4381.03,72.6,89,99
DEL-10250,Instrumentation & Control,Construction & Erection,6068.34,3030.36,2894.5,49.9,43,58
DEL-10251,Piping & Layout,Procurement & Fabrication,13729.15,12601.4,13485.24,91.8,76,72
DEL-10252,Civil & Structural,Construction & Erection,705.49,409.64,457.46,58.1,67,54
DEL-10253,Instrumentation & Control,Engineering & Design,728.11,80.68,64.67,11.1,59,72
DEL-10254,Piping & Layout,Procurement & Fabrication,3305.35,1904.26,1975.47,57.6,41,43
DEL-10255,Piping & Layout,Pre-Commissioning,11823.45,8535.29,8125.66,72.2,48,43
DEL-10256,Mechanical Equipment,Engineering & Design,1404.56,693.28,653.58,49.4,28,39
DEL-10257,Instrumentation & Control,Procurement & Fabrication,443.14,176.8,187.39,39.9,55,67
DEL-10258,Mechanical Equipment,Construction & Erection,7761.6,4601.88,4405.98,59.3,88,105
DEL-10259,Mechanical Equipment,Construction & Erection,5972.53,774.08,965.53,13.0,74,102
DEL-10260,Piping & Layout,Engineering & Design,2054.59,1637.03,1994.24,79.7,56,55
DEL-10261,Mechanical Equipment,Engineering & Design,2234.04,1432.21,1743.39,64.1,65,87
DEL-10262,Instrumentation & Control,Engineering & Design,2262.45,2192.67,2117.6,96.9,89,102
DEL-10263,Piping & Layout,Construction & Erection,5369.17,4283.31,3836.24,79.8,25,24
DEL-10264,Civil & Structural,Procurement & Fabrication,2977.82,1491.12,1569.11,50.1,49,52
DEL-10265,Instrumentation & Control,Engineering & Design,7297.24,2876.12,2926.3,39.4,33,36
DEL-10266,Electrical,Pre-Commissioning,500.85,405.74,384.91,81.0,102,131
DEL-10267,Mechanical Equipment,Procurement & Fabrication,2476.29,1979.44,1709.53,79.9,79,62
DEL-10268,Electrical,Engineering & Design,1996.51,636.22,657.71,31.9,90,64
DEL-10269,Civil & Structural,Procurement & Fabrication,4003.51,1448.62,1418.76,36.2,75,68
DEL-10270,Piping & Layout,Construction & Erection,3195.7,2945.29,3367.21,92.2,61,64
DEL-10271,Electrical,Engineering & Design,9304.7,6271.02,7147.5,67.4,28,34
DEL-10272,Electrical,Engineering & Design,1110.46,629.23,758.3,56.7,81,78
DEL-10273,Instrumentation & Control,Construction & Erection,5096.93,3067.89,2611.1,60.2,66,75
DEL-10274,Instrumentation & Control,Procurement & Fabrication,7682.26,6671.4,7339.6,86.8,46,64
DEL-10275,Civil & Structural,Procurement & Fabrication,21705.43,11077.07,10311.42,51.0,94,68
DEL-10276,Civil & Structural,Procurement & Fabrication,3342.88,2027.86,1737.75,60.7,116,120
DEL-10277,Electrical,Engineering & Design,6371.35,2576.81,2514.22,40.4,24,37
DEL-10278,Mechanical Equipment,Engineering & Design,1160.85,382.06,458.59,32.9,31,28
DEL-10279,Electrical,Procurement & Fabrication,725.19,398.63,392.31,55.0,54,48
DEL-10280,Electrical,Engineering & Design,9660.68,9596.5,12233.79,99.3,82,95
DEL-10281,Instrumentation & Control,Engineering & Design,4892.96,3291.82,3694.51,67.3,77,73
DEL-10282,Piping & Layout,Construction & Erection,12617.12,9571.57,9388.62,75.9,29,37
DEL-10283,Civil & Structural,Pre-Commissioning,1638.08,487.09,591.33,29.7,111,173
DEL-10284,Piping & Layout,Construction & Erection,7449.65,5371.19,5944.88,72.1,53,57
DEL-10285,Mechanical Equipment,Construction & Erection,21917.8,15469.79,13924.61,70.6,71,114
DEL-10286,Piping & Layout,Engineering & Design,6875.81,3631.67,4789.52,52.8,24,23
DEL-10287,Civil & Structural,Pre-Commissioning,6131.93,4871.01,5255.43,79.4,85,87
DEL-10288,Civil & Structural,Engineering & Design,4948.53,4776.04,4980.55,96.5,111,96
DEL-10289,Piping & Layout,Pre-Commissioning,1398.69,756.53,689.7,54.1,31,30
DEL-10290,Mechanical Equipment,Pre-Commissioning,14537.09,10583.96,12879.95,72.8,90,91
DEL-10291,Piping & Layout,Construction & Erection,3014.88,2561.22,2862.4,85.0,31,35
DEL-10292,Piping & Layout,Pre-Commissioning,7358.32,7026.62,7970.9,95.5,30,24
DEL-10293,Electrical,Construction & Erection,1407.5,1066.12,1027.61,75.7,92,88
DEL-10294,Civil & Structural,Engineering & Design,1913.01,1550.81,1806.87,81.1,17,16
DEL-10295,Piping & Layout,Procurement & Fabrication,15491.86,10280.9,12098.28,66.4,65,81
DEL-10296,Civil & Structural,Construction & Erection,3722.53,2811.15,2641.6,75.5,108,117
DEL-10297,Electrical,Engineering & Design,15718.92,7965.4,6590.98,50.7,60,65
